иметь дело с, sich beschäftigen mit D
отражаться в, sich spiegeln in D
отстаивать что-то, verteidigen A
переписываться с, korrespondieren mit D
повторять за, wiederholen nach D
получать от, bekommen von D
предпочитать что-то, bevorzugen A
преуспевать в, erfolgreich sein in D
разделять что-то, teilen mit D
распространяться на, sich erstrecken auf A
сближаться с, sich annähern an A
сбрасывать что-то, abwerfen A
считаться с, rechnen mit D
уважать что-то, respektieren A
уговаривать кого-то на, überreden zu D
упражняться в, üben in D
ускорять что-то, beschleunigen A
устраиваться на, sich einstellen auf A
формировать что-то, formen A
характеризовать что-то, charakterisieren A
читать вслух, vorlesen A
вдохновляться чем-то, sich inspirieren lassen von D
везти что-то, mitnehmen A
верить в, glauben an A
влиять на, beeinflussen A
воображать что-то, sich vorstellen A
возить кого-то, mitnehmen A
выделять что-то, herausstellen A
вызывать что-то, hervorrufen A
выходить за пределы, übersteigen A
говорить по-английски, sprechen Englisch
давать на, geben auf A
действовать в соответствии с, handeln entsprechend D
добиваться чего-то, erreichen A
доказывать что-то, beweisen A
допускать что-то, zulassen A
жить в, leben in D
заканчивать что-то, fertigstellen A
зарабатывать деньги на, verdienen Geld mit D
затрагивать что-то, berühren A
знать о, Bescheid wissen über A
извиняться за, sich entschuldigen für A
интересоваться чем-то, sich auskennen in D
кончать с, fertig sein mit D
критиковать что-то, kritisieren A
лететь в, fliegen nach D
наводить порядок в, Ordnung schaffen in D
накапливать что-то, ansammeln A
налагать что-то на, auferlegen A
напоминать о, erinnern an A
направлять на, lenken auf A
направляться в, zusteuern in A
напугать кого-то, Angst machen A
насмехаться над, sich lustig machen über A
настаивать на, bestehen auf D
недооценивать что-то, unterschätzen A
обдумывать что-то, überdenken A
объединять что-то, vereinen A
объясняться по поводу, sich erklären wegen G
одобрять что-то, gutheißen A
оказываться в, sich befinden in D
оперировать чем-то, operieren mit D
описывать что-то, beschreiben A
отбирать что-то у, wegnehmen von D
отказывать в чем-то, verweigern A
отличаться от, sich unterscheiden von D
отрабатывать что-то, sich abarbeiten an D
передавать что-то, weitergeben A
подходить к, passen zu D
пожаловаться на, sich beschweren über A
полагаться на, sich verlassen auf A
получать что-то из, beziehen aus D
помнить о, denken an A
посещать что-то, besuchen A
предупреждать о, warnen vor D
прибегать к, greifen zu D
приготовлять что-то, zubereiten A
принадлежать к, gehören zu D
приносить что-то, bringen A
продолжать что-то, fortsetzen A
продолжаться в, andauern in D
продумывать что-то, durchdenken A
проявлять что-то, zeigen A
разделяться на, sich teilen in A
различаться в, sich unterscheiden in D
располагаться в, sich befinden in D
рассказывать о, erzählen von D
решать что-то, entscheiden A
сближаться с, sich annähern an A
сдавать что-то, abgeben A
сдерживать что-то, zurückhalten A
смеяться над, lachen über A
советоваться с, sich beraten mit D
создавать что-то, schaffen A
содержать в, enthalten in D
способствовать чему-то, beitragen zu D
считаться с, rechnen mit D
требовать от, fordern von D
убеждать кого-то в, überzeugen von D
уважать кого-то, respektieren A
угрожать чему-то, drohen mit D
удалиться от, sich entfernen von D
улыбаться на, lächeln auf A
управлять чем-то, leiten A
участвовать в, teilnehmen an D
фокусироваться на, fokussieren auf A
хвастаться чем-то, angeben mit D
ценить кого-то, schätzen A
чувствовать к, fühlen zu D
читать вслух, laut lesen A
шутить над, scherzen über A
беречь что-то, schonen A
вдохновлять кого-то на, inspirieren zu D
включать в себя, umfassen A
возиться с, sich beschäftigen mit D
выполнять что-то, ausführen A
выражаться о, sich ausdrücken über A
говорить правду о, die Wahrheit sagen über A
гордиться чем-то, stolz sein auf A
действовать против, handeln gegen A
держать что-то в тайне от, verheimlichen vor D
деться в, passen in A
доверять кому-то, vertrauen A
доминировать над, dominieren über A
жить на, leben von D
завоевывать что-то, erobern A
завязывать что-то, anknüpfen an A
задерживаться в, verweilen in D
закончить с, abschließen mit D
записывать что-то, aufzeichnen A
заполнять что-то, ausfüllen A
запрещать что-то, verbieten A
защищать что-то, schützen A
избавляться от, sich befreien von D
изучать чей-то подход к, sich aneignen D
интересоваться кем-то, sich interessieren für A
красоваться чем-то, prahlen mit D
лечиться от, sich behandeln lassen von D
наблюдать за, beobachten A
накладывать что-то, auflegen A
напоминать что-то, mahnen A
направлять взгляд на, blicken auf A
обращаться к, sich wenden an A
обучать кого-то чему-то, unterrichten A
одобрять кого-то, befürworten A
освобождать что-то от, befreien von D
осуществляться через, erfolgen über A
ответственный за, verantwortlich für A
отвергать что-то, ablehnen A
отклонять что-то, ablehnen A
открывать что-то, öffnen A
отличаться от, abweichen von D
отражаться на, sich auswirken auf A
отрываться от, sich absetzen von D
отсылать что-то, senden A
передавать что-то, übertragen A
переживать за, sich Sorgen machen um A
поддерживать что-то, unterstützen A
подписываться на, abonnieren A
подчиняться кому-то, sich unterordnen D
полагать, думать о, halten von D
пользоваться чем-то, benutzen A
помогать кому-то, helfen D
понимать что-то, verstehen A
поражать что-то, beeindrucken A
порекомендовать что-то, empfehlen A
поручать что-то кому-то, übertragen auf A
потреблять что-то, konsumieren A
похвастаться чем-то, sich rühmen mit D
походить на, ähneln D
править чем-то, regieren A
превращать что-то в, verwandeln in A
предупреждать о, benachrichtigen über A
прекращать что-то, beenden A
прибывать в, ankommen in D
приводить к, führen zu D
призывать к, aufrufen zu D
принимать участие в, teilnehmen an D
приспосабливаться к, sich anpassen an A
присутствовать на, anwesend sein bei D
притягивать что-то, anziehen A
приходить в голову, einfallen D
продавать что-то, verkaufen A
проверять что-то, überprüfen A
продумывать как, überlegen wie D
противодействовать чему-то, entgegenwirken D
разбираться в, sich auskennen in D
разводить что-то, züchten A
раскрывать что-то, offenlegen A
раскрываться в, sich entfalten in D
рассматривать что-то, betrachten A
сближаться по, sich annähern durch A
сжигать что-то, verbrennen A
совершать что-то, vollziehen A
соглашаться на, einwilligen in A
сокращать что-то, kürzen A
сохранять что-то, bewahren A
справляться с, zurechtkommen mit D
ссориться с, streiten mit D
стирать что-то, löschen A
требовать что-то, verlangen A
увеличивать что-то, vergrößern A
узнавать о, erfahren von D
учитывать что-то, berücksichtigen A
улучшать что-то, verbessern A
умирать от, sterben an D
уничтожать что-то, zerstören A
упоминать о, erwähnen A
успокоить кого-то, beruhigen A
устанавливать что-то, installieren A
уступать кому-то, nachgeben D
участвовать в, mitwirken bei D
фокусироваться на, sich konzentrieren auf A
формировать что-то, formen A
хватать за, greifen nach D
ценить что-то, wertschätzen A
чувствовать себя, sich fühlen A
шутить о, scherzen über A
выдавать себя за, sich ausgeben für A
влиять на, wirken auf A
возмущаться чем-то, sich empören über A
восхищаться кем-то/чем-то, bewundern A
выбирать что-то, auswählen A
говорить по-русски, sprechen Russisch
доводить что-то до, bringen A
доказывать кому-то что-то, beweisen D
желать кому-то чего-то, wünschen D
заботиться о, sich kümmern um A
заводить дело, anfangen mit D
завязывать с кем-то, Schluss machen mit D
завязывать что-то на, binden an A
задумываться о, nachdenken über A
заинтересовывать кого-то, interessieren A
запоминать что-то, merken A
запрещать кому-то что-то, verbieten D
заслуживать чего-то, verdienen A
заявлять что-то, erklären A
звучать как, klingen wie D
избегать чего-то, vermeiden A
изменять что-то, ändern A
изучать что-то, erforschen A
интересоваться чем-то, sich interessieren für A
колебаться между, schwanken zwischen D
компенсировать что-то, kompensieren A
контролировать что-то, kontrollieren A
косить под, vorgeben zu sein A
кричать на, schreien auf A
любить что-то, mögen A
мешать чему-то, stören A
