близкий к, nah bei D
светлый на, hell auf D
сильный для, stark für A
сильный на, stark auf D
слабый в, schwach in D
сложный для, komplex für A
смешанный из-за, gemischt wegen G
современный в, modern in D
согласный с, einverstanden mit D
сомнительный в, zweifelhaft in D
сочный в, saftig in D
спокойный в, ruhig in D
средний в, durchschnittlich in D
страшный для, schrecklich für A
странный для, seltsam für A
счастливый для, glücklich für A
теплый на, warm auf D
толстый в, dick in D
точный в, genau in D
удобный для, bequem für A
узкий на, eng auf D
умный в, klug in D
утренний в, am Morgen in D
холодный на, kalt auf D
целевой для, zielgerichtet für A
частный в, privat in D
чистый для, rein für A
шероховатый на, rau auf D
шумный в, laut in D
эмоциональный в, emotional in D
южный от, südlich von D
ясный для, klar für A
языковой для, sprachlich für A
жаркий на, heiß auf D
задумчивый о, nachdenklich über A
злой на, böse auf D
знакомый с, vertraut mit D
квадратный в, quadratisch in D
короткий на, kurz auf D
легальный в, legal in D
мокрый на, nass auf D
надежный для, zuverlässig für A
незначительный для, unbedeutend für A
немногочисленный в, selten in D
неприятный для, unangenehm für A
белый на, weiß auf D
бережливый с, sparsam mit D
бесплатный для, kostenlos für A
беспокойный о, unruhig wegen G
благодарный за, dankbar für A
болезненный для, schmerzhaft für A
большой на, groß auf D
быстрый в, schnell in D
великий в, großartig in D
верный в, treu in D
взрослый в, erwachsen in D
вкусный с, schmackhaft mit D
внешний для, außerhalb für A
возбужденный из-за, aufgeregt wegen G
враждебный к, feindlich gegenüber D
вредный для, schädlich für A
высокий для, hoch für A
глупый в, dumm in D
гневный на, wütend auf D
громкий в, laut in D
добрый на, gut auf D
долгожданный для, lang erwartet für A
дурацкий в, albern in D
единый в, einzig in D
жаркий в, leidenschaftlich in D
желанный для, gewünscht für A
загадочный для, mysteriös für A
запутанный в, verwirrt in D
запятнанный чем-то, befleckt mit D
злой на, böse auf D
значимый для, wichtig für A
знатный в, bekannt in D
избыточный в, überflüssig in D
излюбленный для, bevorzugt für A
изумленный чем-то, erstaunt über A
индивидуальный в, individuell in D
интересный к, interessant für D
классический в, klassisch in D
кожаный на, aus Leder auf D
корыстный в, egoistisch in D
красивый на, schön auf D
круглый на, rund auf D
легкий на подъем, leicht aufzusteigen auf A
ленивый в, faul in D
лестный к, schmeichelhaft zu D
лишний для, überflüssig für A
любимый для, geliebt für A
маленький на, klein auf D
медленный в, langsam in D
местный в, örtlich in D
милый к, süß zu D
минимальный для, minimal für A
мрачный в, düster in D
напуганный чем-то, verängstigt wegen G
населенный, bewohnt von D
насыщенный, gesättigt mit D
невероятный на, unglaublich auf D
нежный к, zärtlich zu D
некрасивый на, hässlich auf D
неприятный к, unangenehm zu D
несовместимый с, unvereinbar mit D
нетерпеливый на, ungeduldig auf D
неуклюжий в, ungeschickt in D
новый для, neu für A
обиженный на, beleidigt auf D
обширный на, umfangreich auf D
одинокий в, einsam in D
оживленный чем-то, belebt mit D
опытный в, erfahren in D
особенный для, besonders für A
ответственный за, verantwortlich für A
отдаленный от, entfernt von D
открытый для, offen für A
отличный от, ausgezeichnet von D
очевидный для, offensichtlich für A
параллельный с, parallel zu D
подходящий для, passend für A
похожий на, ähnlich zu D
правильный в, richtig in D
прекрасный на, wunderbar auf D
приятный на, angenehm auf D
прохладный на, kühl auf D
раздраженный из-за, gereizt wegen G
различный для, unterschiedlich für A
расслабленный в, entspannt in D
расстроенный из-за, enttäuscht wegen G
реактивный на, reaktiv auf D
свежий на, frisch auf D
свободный в, frei in D
сердечный к, herzlich zu D
сильный против, stark gegenüber D
скучный для, langweilig für A
слабый на, schwach auf D
совершенный в, perfekt in D
соленый на, salzig auf D
способный к, fähig zu D
старый для, alt für A
страстный к, leidenschaftlich zu D
строгий в, streng in D
сумасшедший на, verrückt auf D
сухой на, trocken auf D
твердый на, hart auf D
темный в, dunkel in D
терпеливый с, geduldig mit D
толковый в, vernünftig in D
тощий на, dünn auf D
трудный в, schwer in D
убедительный в, überzeugend in D
удивительный на, erstaunlich auf D
ужасный для, schrecklich für A
умелый в, geschickt in D
умный на, klug auf D
унылый на, traurig auf D
уставший от, müde von D
холодный в, kalt in D
целый в, ganz in D
черный на, schwarz auf D
честный в, ehrlich in D
чудесный в, wunderbar in D
шерстяной на, aus Wolle auf D
шумный на, laut auf D
шутливый в, humorvoll in D
экзотический из-за, exotisch wegen G
энергичный в, energisch in D
эффективный в, effektiv in D
яркий на, leuchtend auf D
